city,sum,lat,lng
"Bonaire, Georgia",6,32.5437575,-83.5960161
"Bonita, California",124,32.6583258,-117.0352904
"Bonita Springs, Florida",32,26.339806,-81.7786972
"Bonney Lake, Washington",48,47.1770457,-122.1865055
"Bonsall, California",4,33.2889226,-117.2255903
"Boone, North Carolina",6,36.216795,-81.6745517
"Boonsboro, Maryland",2,39.5062108,-77.6524907
"Boothwyn, Pennsylvania",2,39.8301125,-75.4415843
"Boscawen, New Hampshire",2,43.32439309999999,-71.636864
"Bossier City, Louisiana",140,32.5159852,-93.7321228
"Bossier-Shreveport, Louisiana",12,32.5170825,-93.7390602
"Boston, Massachusetts",6454,42.3600825,-71.0588801
"Bothell, Washington",228,47.76011099999999,-122.2054452
"Boulder, Colorado",118,40.0149856,-105.2705456
"Bountiful, Utah",10,40.8893895,-111.880771
"Bourne, Massachusetts",4,41.74127730000001,-70.5989325
"Bowie, Maryland",60,39.0067768,-76.77913649999999
"Bowling Green, Kentucky",9098,36.9685219,-86.4808043
"Boyds, Maryland",8,39.185008,-77.3105963
"Boynton Beach, Florida",14,26.5317866,-80.0905465
"Bradbury, California",4,34.1469511,-117.9708982
"Bradenton, Florida",80,27.4989278,-82.5748194
"Braintree, Massachusetts",2,42.2079017,-71.0040013
"Branchburg, New Jersey",4,40.58681139999999,-74.69858909999999
"Brandon, Florida",132,27.937801,-82.2859247
"Brandywine, Maryland",4,38.6967833,-76.8477485
"Branford, Connecticut",14,41.2799027,-72.81411849999999
"Braselton, Georgia",42,34.1092735,-83.7626729
"Brea, California",10,33.916475,-117.9002918
"Bremerton, Washington",38,47.5650067,-122.6269768
"Brentwood, New York",164,40.7812093,-73.2462273
"Briarwood, New York",26,40.70894910000001,-73.8154394
"Bridgeport, Connecticut",1622,41.1792258,-73.1894384
"Bridgeton, Missouri",8,38.7669954,-90.41150569999999
"Bridgeview, Illinois",8,41.7500323,-87.80422159999999
"Bridgewater, Virginia",120,38.38207060000001,-78.97669599999999
"Brier, Washington",12,47.7845419,-122.2742948
"Brigantine, New Jersey",4,39.4101171,-74.3645906
"Brighton, Colorado",182,39.9852617,-104.8205283
"Bristol, Connecticut",376,41.67176480000001,-72.9492703
"Bristow, Virginia",36,38.723303,-77.5367043
"Broadview Heights, Ohio",78,41.3139426,-81.6851271
"Broadway, Virginia",14,38.6131746,-78.79891239999999
"Brockport, New York",88,43.2136713,-77.9391797
"Brockton, Massachusetts",60,42.0834335,-71.0183787
"Broken Arrow, Oklahoma",122,36.060949,-95.7974526
"Bronx, New York",1242,40.8447819,-73.8648268
"Bronxville, New York",4,40.93815439999999,-73.8320784
"Brook Park, Ohio",6,41.3983838,-81.8045788
"Brookeville, Maryland",2,39.1806623,-77.0591452
"Brookfield, Connecticut",78,41.4825947,-73.4095652
"Brookhaven, Pennsylvania",12,39.8692789,-75.3824144
"Brookings, South Dakota",2,44.3113573,-96.79838769999999
"Brookline, Massachusetts",66,42.33176419999999,-71.1211635
"Brooklyn, Connecticut",6296,41.7881236,-71.9497216
"Brooklyn Center, Minnesota",1596,45.076076,-93.3327283
"Brooklyn Park, Minnesota",3174,45.0941315,-93.3563405
"Brookshire, Texas",28,29.7860643,-95.95106609999999
"Brooksville, Florida",2,28.5552719,-82.3878709
"Brooktondale, New York",10,42.3806287,-76.3946593
"Broomall, Pennsylvania",44,39.967933,-75.347048
"Broomfield, Colorado",176,39.9205411,-105.0866504
"Browerville, Minnesota",8,46.0857974,-94.8658555
"Brown Deer, Wisconsin",4,43.1633426,-87.9645321
"Brown Summit, North Carolina",6,36.2127803,-79.7131567
"Browns Mills, New Jersey",2,39.9726147,-74.58293309999999
"Browns Summit, North Carolina",6,36.2127803,-79.7131567
"Brownsburg, Indiana",12,39.8433769,-86.39777350000001
"Brownstown, Michigan",10,42.1261157,-83.2572332
"Brownsville, Texas",6,25.9017472,-97.4974838
"Brunswick, Ohio",10,41.2381096,-81.8418006
"Brush, Colorado",8,40.2588686,-103.6238367
"Brush Prairie, Washington",10,45.7328944,-122.5464856
"Bryan, Texas",2,30.6743643,-96.3699632
"Bryn Mawr, Pennsylvania",2,40.0230237,-75.3151772
"Buckeye, Arizona",12,33.3703197,-112.5837766
"Buda, Texas",32,30.0817231,-97.8428927
"Budd Lake, New Jersey",8,40.8712101,-74.7340523
"Buena Park, California",96,33.8674044,-117.9981387
"Buffalo, New York",31408,42.88644679999999,-78.8783689
"Buffalo Grove, Illinois",80,42.1662831,-87.9631308
"Buffalo River, New York",12,42.8783912,-78.88642469999999
"Bufflalo, New York",2,42.88644679999999,-78.8783689
"Buford, Georgia",122,34.1206564,-84.0043513
"Buhl, Idaho",8,42.5990714,-114.7594946
"Bullhead City, Arizona",8,35.1359386,-114.5285981
"Burbank, California",4346,34.1808392,-118.3089661
"Burgettstown, Pennsylvania",2,40.3820132,-80.3928423
"Burien, Virginia",508,47.4668384,-122.3405305
"Burien, Virginia",508,37.4315734,-78.6568942
"Burke, Virginia",178,38.7934466,-77.27165049999999
"Burleson, Texas",2,32.5420821,-97.3208492
"Burlingame, California",20,37.5778696,-122.34809
"Burlington, Kentucky",2790,39.02756,-84.7241133
"Burnsville, Minnesota",1140,44.7677424,-93.27772259999999
"Burr Ridge, Illinois",6,41.74892029999999,-87.91839189999999
"Burt, New York",8,43.3164449,-78.71392349999999
"Burtonsville, Maryland",24,39.11121929999999,-76.9324752
"Butler, Kentucky",2,38.7864569,-84.36965939999999
"Butner, North Carolina",18,36.1320892,-78.7566714
"Butte, Montana",4,46.0038232,-112.5347775
"Buzzards Bay, Massachusetts",4,41.7453829,-70.618087
"Byron Center, Michigan",12,42.8122508,-85.7228061
"Cactus, Texas",294,36.05225739999999,-102.0023992
"Caguas, Puerto Rico",14,18.2387995,-66.035249
"Calabasas, California",66,34.1367208,-118.6614809
"Caledonia, Michigan",16,42.7891985,-85.5166864
"Calera, Alabama",8,33.1028965,-86.7535975
"Calexico, California",18,32.6789476,-115.4988834
"California, Missouri",18,38.6275278,-92.5665786
"Calipatria, California",2,33.1255957,-115.5141538
"Calumet City, Illinois",12,41.6155909,-87.5294871
"Camarillo, California",96,34.2163937,-119.0376023
"Camas, Washington",30,45.5874666,-122.4045037
"Cambria, California",4,35.5641381,-121.0807468
"Cambria Heights, New York",2,40.692158,-73.7330753
"Cambridge, Massachusetts",248,42.3736158,-71.10973349999999
"Camden, New Jersey",2190,39.9259463,-75.1196199
"Camillus, New York",86,43.039233,-76.3040965
"Camp Hill, Pennsylvania",96,40.23981180000001,-76.9199742
"Camp Springs, Maryland",10,38.8040027,-76.90663959999999
"Campbell, California",250,37.2871651,-121.9499568
"Campobello, South Carolina",16,35.1156713,-82.1501112
"Canal Winchester, Ohio",94,39.8466556,-82.8123646
"Canastota, New York",6,43.0795121,-75.7507413
"Candler, North Carolina",86,35.5360973,-82.69273629999999
"Canfield, Ohio",2,41.0250584,-80.7609121
"Canoga Park, California",350,34.208254,-118.6058609
"Canonsburg, Pennsylvania",8,40.2625702,-80.18727969999999
"Canton, Georgia",218,34.2367621,-84.4907621
"Cantonment, Florida",8,30.6053644,-87.34464919999999
"Canyon, Texas",10,34.9803342,-101.9188024
"Canyon Country, California",128,34.4235425,-118.4720633
"Canyon Lake, California",10,33.6850215,-117.2730931
"Capac, Michigan",6,43.0125509,-82.93447909999999
"Cape Coral, Florida",394,26.5628537,-81.9495331
"Cape Giradeau, Missouri",2,37.3058839,-89.51814759999999
"Cape Girardeau, Missouri",16,37.3058839,-89.51814759999999
"Capistrano Beach, California",2,33.4596667,-117.6690208
